Song,Artist,Genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,id_Spotify,Link_Spotify,type,uri,track_href,analysis_url,Link_YouTube,Questionnaire
Bombastic,Shaggy,Reggae,0.866,0.538,2,-16.183,1,0.36,0.242,0.0000167,0.316,0.78,158.323,249933,4,4fxF8ljwryMZX5c9EKrLFE,https://open.spotify.com/track/4fxF8ljwryMZX5c9EKrLFE,audio_features,spotify:track:4fxF8ljwryMZX5c9EKrLFE,https://api.spotify.com/v1/tracks/4fxF8ljwryMZX5c9EKrLFE,https://api.spotify.com/v1/audio-analysis/4fxF8ljwryMZX5c9EKrLFE,https://youtu.be/6W5pq4bIzIw?t=23,1
Do The Reggay,Maytals,Reggae,0.635,0.634,7,-8.864,1,0.0406,0.175,0.0144,0.326,0.852,72.936,188493,4,4j4GsMm9vglqJl7b6E08PR,https://open.spotify.com/track/4j4GsMm9vglqJl7b6E08PR,audio_features,spotify:track:4j4GsMm9vglqJl7b6E08PR,https://api.spotify.com/v1/tracks/4j4GsMm9vglqJl7b6E08PR,https://api.spotify.com/v1/audio-analysis/4j4GsMm9vglqJl7b6E08PR,,
Red Red Wine,UB 40,Reggae,0.857,0.468,1,-8.53,1,0.0476,0.00414,0.0000132,0.269,0.843,89.119,183113,4,4uOKFydzAejjSFqYbv1XPt,https://open.spotify.com/track/4uOKFydzAejjSFqYbv1XPt,audio_features,spotify:track:4uOKFydzAejjSFqYbv1XPt,https://api.spotify.com/v1/tracks/4uOKFydzAejjSFqYbv1XPt,https://api.spotify.com/v1/audio-analysis/4uOKFydzAejjSFqYbv1XPt,,
Get Up Stand Up,Bob Marley,Reggae,0.822,0.547,9,-9.537,1,0.381,0.344,0.0000354,0.0733,0.863,148.88,221933,4,5MVW8uIuNuL7CQ0RyyogHI,https://open.spotify.com/track/5MVW8uIuNuL7CQ0RyyogHI,audio_features,spotify:track:5MVW8uIuNuL7CQ0RyyogHI,https://api.spotify.com/v1/tracks/5MVW8uIuNuL7CQ0RyyogHI,https://api.spotify.com/v1/audio-analysis/5MVW8uIuNuL7CQ0RyyogHI,,
Could YoBe Loved,Bob Marley,Reggae,0.923,0.728,0,-8.518,1,0.101,0.363,0.000169,0.0941,0.751,103.299,237000,4,5O4erNlJ74PIF6kGol1ZrC,https://open.spotify.com/track/5O4erNlJ74PIF6kGol1ZrC,audio_features,spotify:track:5O4erNlJ74PIF6kGol1ZrC,https://api.spotify.com/v1/tracks/5O4erNlJ74PIF6kGol1ZrC,https://api.spotify.com/v1/audio-analysis/5O4erNlJ74PIF6kGol1ZrC,,
Buffalo Soldier,Bob Marley,Reggae,0.932,0.469,9,-8.66,1,0.29,0.143,0.00000443,0.0586,0.747,124.115,257440,4,7BfW1eoDh27W69nxsmRicb,https://open.spotify.com/track/7BfW1eoDh27W69nxsmRicb,audio_features,spotify:track:7BfW1eoDh27W69nxsmRicb,https://api.spotify.com/v1/tracks/7BfW1eoDh27W69nxsmRicb,https://api.spotify.com/v1/audio-analysis/7BfW1eoDh27W69nxsmRicb,,
Stir It Up,Bob Marley,Reggae,0.756,0.453,9,-11.091,1,0.0911,0.654,0.259,0.0761,0.904,147.241,334493,4,3sqZDdEO5viqNqMCNem5m5,https://open.spotify.com/track/3sqZDdEO5viqNqMCNem5m5,audio_features,spotify:track:3sqZDdEO5viqNqMCNem5m5,https://api.spotify.com/v1/tracks/3sqZDdEO5viqNqMCNem5m5,https://api.spotify.com/v1/audio-analysis/3sqZDdEO5viqNqMCNem5m5,,
(I Can't Help) Falling In Love With You,Bob Marley,Reggae,0.642,0.722,2,-13.031,1,0.0375,0.0444,0.00388,0.122,0.836,172.406,207440,4,7ojJ4XvqBhBcteM0zjMebT,https://open.spotify.com/track/7ojJ4XvqBhBcteM0zjMebT,audio_features,spotify:track:7ojJ4XvqBhBcteM0zjMebT,https://api.spotify.com/v1/tracks/7ojJ4XvqBhBcteM0zjMebT,https://api.spotify.com/v1/audio-analysis/7ojJ4XvqBhBcteM0zjMebT,https://youtu.be/ZLvvLtt99Lc?t=35,6
Hit The Road Jack,Ray Charles,Blues,0.613,0.618,8,-11.831,0,0.257,0.568,0,0.727,0.94,172.741,118267,4,49fzPkBb3aOUWYRKaTWVhm,https://open.spotify.com/track/49fzPkBb3aOUWYRKaTWVhm,audio_features,spotify:track:49fzPkBb3aOUWYRKaTWVhm,https://api.spotify.com/v1/tracks/49fzPkBb3aOUWYRKaTWVhm,https://api.spotify.com/v1/audio-analysis/49fzPkBb3aOUWYRKaTWVhm,,
While my guitar gently weeps,George Harrison,Blues,0.312,0.903,7,-3.739,1,0.0645,0.522,0.0053,0.967,0.251,117.982,357105,4,6ZHCQehGCpGWTi6wEzs8vf,https://open.spotify.com/track/6ZHCQehGCpGWTi6wEzs8vf,audio_features,spotify:track:6ZHCQehGCpGWTi6wEzs8vf,https://api.spotify.com/v1/tracks/6ZHCQehGCpGWTi6wEzs8vf,https://api.spotify.com/v1/audio-analysis/6ZHCQehGCpGWTi6wEzs8vf,,
My sweet lord,George Harrison,Blues,0.538,0.704,1,-8.904,0,0.0332,0.0794,0,0.0867,0.583,120.963,281227,4,0qdQUeKVyevrbKhAo0ibxS,https://open.spotify.com/track/0qdQUeKVyevrbKhAo0ibxS,audio_features,spotify:track:0qdQUeKVyevrbKhAo0ibxS,https://api.spotify.com/v1/tracks/0qdQUeKVyevrbKhAo0ibxS,https://api.spotify.com/v1/audio-analysis/0qdQUeKVyevrbKhAo0ibxS,https://youtu.be/SP9wms6oEMo?t=29,6
Mannish Boy,Muddy Waters,Blues,0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.681,0.615,111.129,321133,3,58PSYdY0GFg0LFb2PxYk4T,https://open.spotify.com/track/58PSYdY0GFg0LFb2PxYk4T,audio_features,spotify:track:58PSYdY0GFg0LFb2PxYk4T,https://api.spotify.com/v1/tracks/58PSYdY0GFg0LFb2PxYk4T,https://api.spotify.com/v1/audio-analysis/58PSYdY0GFg0LFb2PxYk4T,https://youtu.be/bSfqNEvykv0?t=28,5
Rollin' Stone,Muddy Waters,Blues,0.786,0.0479,4,-12.601,1,0.0811,0.992,0.000171,0.119,0.385,84.675,187240,4,6uSBSTEnZJY0XI3IS69gBU,https://open.spotify.com/track/6uSBSTEnZJY0XI3IS69gBU,audio_features,spotify:track:6uSBSTEnZJY0XI3IS69gBU,https://api.spotify.com/v1/tracks/6uSBSTEnZJY0XI3IS69gBU,https://api.spotify.com/v1/audio-analysis/6uSBSTEnZJY0XI3IS69gBU,https://youtu.be/sVmEMv8rcCA?t=9,1
Riders In The Storm,The Doors,Blues,0.549,0.722,11,-11.729,0,0.0283,0.25,0.0138,0.11,0.716,103.885,434720,4,14XWXWv5FoCbFzLksawpEe,https://open.spotify.com/track/14XWXWv5FoCbFzLksawpEe,audio_features,spotify:track:14XWXWv5FoCbFzLksawpEe,https://api.spotify.com/v1/tracks/14XWXWv5FoCbFzLksawpEe,https://api.spotify.com/v1/audio-analysis/14XWXWv5FoCbFzLksawpEe,,
